IdEsquemaFullText,IdEsquemaData,IdHomologacion,FullTextData
48265,79534,62,PRODUCTOS AVÍCOLAS LISTOS PARA CONSUMIR Y RECALENTAR
48318,79542,62,AVES DE CORRAL CRUDAS Y PRODUCTOS AVÍCOLAS LISTAS PARA COCINAR
49293,72264,62,"CHOCOLATES: DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO."
49869,80165,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
50058,80180,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
50114,80197,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
50133,80190,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
51148,71625,65,CONDUCTIVIDAD ELÉCTRICA. EXTRACTO 1:5 Y DETERMINACIÓN POR CONDUCTIVIMETRÍA (LODOS Y SUELOS) GOBIERNO DE CHILE. PROTOCOLO DE MÉTODOS DE ANÁLISIS PARA SUELOS Y LODOS. UNIVERSIDAD DE CONCEPCIÓN. ELABORADO CON LA PARTICIPACIÓN DE LA COMISIÓN DE NORMALIZACIÓN Y ACREDITACIÓN DE LA SOCIEDAD CHILENA DE LA CIENCIA DEL SUELO POR ENCARGO DEL SERVICIO AGRÍCOLA Y GANADERO. MÉTODO 5.1 (VALIDADO)
51169,71626,65,CONDUCTIVIDAD ELÉCTRICA. EXTRACTO 1:5 Y DETERMINACIÓN POR CONDUCTIVIMETRÍA (LODOS Y SUELOS) GOBIERNO DE CHILE. PROTOCOLO DE MÉTODOS DE ANÁLISIS PARA SUELOS Y LODOS. UNIVERSIDAD DE CONCEPCIÓN. ELABORADO CON LA PARTICIPACIÓN DE LA COMISIÓN DE NORMALIZACIÓN Y ACREDITACIÓN DE LA SOCIEDAD CHILENA DE LA CIENCIA DEL SUELO POR ENCARGO DEL SERVICIO AGRÍCOLA Y GANADERO. MÉTODO 5.1 (VALIDADO)
51745,77328,65,CACAO Y CHOCOLATE. GRASA EN PRODUCTOS DEL CACAO. MÉTODO DE EXTRACCIÓN POR SOXHLET NTP 208.016:2015. VALIDADO (MODIFICADO).
51948,77357,65,CACAO Y CHOCOLATE. DETERMINACIÓN DE HUMEDAD. MÉTODO GRAVIMÉTRICO NTP 208.017:2021. EXCEPTO 4.3.1.3
53246,81516,62,CHOCOLATE (S)
54037,71677,65,MATERIA ORGÁNICA. CALCINACIÓN A 550ºC (LODOS Y SUELOS) GOBIERNO DE CHILE. PROTOCOLO DE MÉTODOS DE ANÁLISIS PARA SUELOS Y LODOS. UNIVERSIDAD DE CONCEPCIÓN. ELABORADO CON LA PARTICIPACIÓN DE LA COMISIÓN DE NORMALIZACIÓN Y ACREDITACIÓN DE LA SOCIEDAD CHILENA DE LA CIENCIA DEL SUELO POR ENCARGO DEL SERVICIO AGRÍCOLA Y GANADERO. MÉTODO 6.1 (VALIDADO)
54053,71678,65,MATERIA ORGÁNICA. CALCINACIÓN A 550ºC (LODOS Y SUELOS) GOBIERNO DE CHILE. PROTOCOLO DE MÉTODOS DE ANÁLISIS PARA SUELOS Y LODOS. UNIVERSIDAD DE CONCEPCIÓN. ELABORADO CON LA PARTICIPACIÓN DE LA COMISIÓN DE NORMALIZACIÓN Y ACREDITACIÓN DE LA SOCIEDAD CHILENA DE LA CIENCIA DEL SUELO POR ENCARGO DEL SERVICIO AGRÍCOLA Y GANADERO. MÉTODO 6.1 (VALIDADO)
54133,72908,62,"CHOCOLATE BLANCO, DE LECHE, PARA TAZA, DE COBERTURA CON O SIN RELLENO"
56459,72453,62,CHOCOLATE
57499,72513,62,"CHOCOLATE BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDANEO"
62614,79151,62,CHOCOLATE PARA TAZA
62617,79151,65,CACAO Y CHOCOLATE. GRASA EN PRODUCTOS DEL CACAO. MÉTODO DE EXTRACCIÓN POR SOXHLET. NTP 208.016:2021
62803,79178,62,CHOCOLATES
62852,79185,62,CHOCOLATE
62864,82582,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
62871,82583,62,"PRODUCTOS PESQUEROS Y ACUICOLAS EMPANIZADOS, CRUDOS, PRECOCIDOS (CONGELADOS)"
66463,82584,62,PRODUCTOS PESQUEROS Y ACUICOLAS EN CONSERVAS
66470,82585,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
66680,82615,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
68901,77593,65,"DETERMINACIÓN DE FÓSFORO APROVECHABLE PARA SUELOS NEUTROS Y ALCALINOS (AS-10 MÉTODO DE OLSEN Y COLABORADORES). NORMA OFICIAL MEXICANA NOM-021-RECNAT-2000. SEGUNDA SECCIÓN (31 DE DICIEMBRE 2002). ÍTEM 7.1.10, AS-10"
69097,77621,65,"DETERMINACIÓN DE FÓSFORO APROVECHABLE PARA SUELOS NEUTROS Y ALCALINOS (AS-10 MÉTODO DE OLSEN Y COLABORADORES). NORMA OFICIAL MEXICANA NOM-021-RECNAT-2000. SEGUNDA SECCIÓN (31 DE DICIEMBRE 2002). ÍTEM 7.1.10, AS-10"
69433,77669,65,"DETERMINACIÓN DE FÓSFORO APROVECHABLE PARA SUELOS NEUTROS Y ALCALINOS (AS-10 MÉTODO DE OLSEN Y COLABORADORES). NORMA OFICIAL MEXICANA NOM-021-RECNAT-2000. SEGUNDA SECCIÓN (31 DE DICIEMBRE 2002). ÍTEM 7.1.10, AS-10"
70325,79549,62,PRODUCTOS AVÍCOLAS LISTOS PARA CONSUMIR Y RECALENTAR
71596,75769,62,"CHOCOLATES DE LECHE, BLANCO PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
71754,79187,62,CHOCOLATES
72246,77702,65,"DETERMINACIÓN DE FÓSFORO APROVECHABLE PARA SUELOS NEUTROS Y ALCALINOS (AS-10 MÉTODO DE OLSEN Y COLABORADORES). NORMA OFICIAL MEXICANA NOM-021-RECNAT-2000. SEGUNDA SECCIÓN (31 DE DICIEMBRE 2002). ÍTEM 7.1.10, AS-10"
72758,80221,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
72849,80234,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
76150,81567,62,CHOCOLATE (S)
76947,79867,62,COLAS
76982,79872,62,COLAS
77017,79877,62,COLAS
77724,77576,65,"DETERMINACIÓN DE FÓSFORO APROVECHABLE PARA SUELOS NEUTROS Y ALCALINOS (AS-10 MÉTODO DE OLSEN Y COLABORADORES). NORMA OFICIAL MEXICANA NOM-021-RECNAT-2000. SEGUNDA SECCIÓN (31 DE DICIEMBRE 2002). ÍTEM 7.1.10, AS-10"
79625,75745,62,"CHOCOLATES DE LECHE, BLANCO PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
79853,81592,62,CHOCOLATE (S)
81235,82769,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
81245,82770,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
81293,82785,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
81319,82780,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
82239,81619,62,CHOCOLATE (S)
82317,82623,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
82324,82624,62,"PRODUCTOS PESQUEROS Y ACUICOLAS EMPANIZADOS, CRUDOS, PRECOCIDOS (CONGELADOS)"
82331,82625,62,PRODUCTOS PESQUEROS Y ACUICOLAS EN CONSERVAS
82338,82626,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
82499,82649,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
82506,82650,62,"PRODUCTOS PESQUEROS Y ACUICOLAS EMPANIZADOS, CRUDOS, PRECOCIDOS (CONGELADOS)"
82513,82651,62,PRODUCTOS PESQUEROS Y ACUICOLAS EN CONSERVAS
82520,82652,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
84844,82843,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
84989,82862,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
91549,79860,62,COLAS
92798,83240,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUA RESIDUALES EN AGRICULTURA. METODOLOGÍAS PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS 1993. ÍTEM 3.2.1. B CUALITATIVO. ÍTEM 3.2.2. CUANTITATIVO  (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
92800,83241,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUA RESIDUALES EN AGRICULTURA. METODOLOGÍAS PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS 1993. ÍTEM 3.2.1. B CUALITATIVO. ÍTEM 3.2.2. CUANTITATIVO  (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
92805,83242,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUA RESIDUALES EN AGRICULTURA. METODOLOGÍAS PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS 1993. ÍTEM 3.2.1. B CUALITATIVO. ÍTEM 3.2.2. CUANTITATIVO  (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
92844,83246,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUA RESIDUALES EN AGRICULTURA. METODOLOGÍAS PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS 1993. ÍTEM 3.2.1. B CUALITATIVO. ÍTEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
92851,83247,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUA RESIDUALES EN AGRICULTURA. METODOLOGÍAS PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS 1993. ÍTEM 3.2.1. B CUALITATIVO. ÍTEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
92858,83248,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUA RESIDUALES EN AGRICULTURA. METODOLOGÍAS PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS 1993. ÍTEM 3.2.1. B CUALITATIVO. ÍTEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
94210,82500,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
94217,82501,62,"PRODUCTOS PESQUEROS Y ACUÍCOLAS SECOS, SECO-SALADOS, SALPRESO"
94399,82527,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
94406,82528,62,"PRODUCTOS PESQUEROS Y ACUICOLAS EMPANIZADOS, CRUDOS, PRECOCIDOS (CONGELADOS)"
94413,82529,62,PRODUCTOS PESQUEROS Y ACUICOLAS EN CONSERVAS
94420,82530,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
94483,82539,62,"PRODUCTOS PESQUEROS Y ACUICOLAS EMPANIZADOS, CRUDOS, PRECOCIDOS (CONGELADOS)"
94490,82540,62,PRODUCTOS PESQUEROS Y ACUICOLAS EN CONSERVAS
94497,82541,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
94700,82570,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
94707,82571,62,"PRODUCTOS PESQUEROS Y ACUICOLAS EMPANIZADOS, CRUDOS, PRECOCIDOS (CONGELADOS)"
94714,82572,62,PRODUCTOS PESQUEROS Y ACUICOLAS EN CONSERVAS
94721,82573,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
96209,82825,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
100135,81641,62,CHOCOLATE (S)
100323,82884,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
100358,82892,62,PRODUCTOS PESQUEROS Y ACUÍCOLAS CRUDOS (CONGELADOS Ó REFRIGERADOS)
101019,72647,62,"CACAO Y DERIVADOS: PASTA DE CACAO, COCOA, CHOCOLATES Y OTROS"
101894,85891,62,"PRODUCTOS DE CONFITERÍA: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
102027,85910,62,"PRODUCTOS DE CONFITERÍA: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
102964,84755,62,CHOCOLATE (S)
106015,82701,62,"PRODUCTOS PESQUEROS Y ACUICOLAS SECO SALADO, SALPRESO"
108768,81009,62,CHOCOLATE (S)
110029,72654,62,"CHOCOLATES: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE"
123925,77225,62,PRODUCTOS DE CONFITERÍA (CHOCOLATES)
124030,77240,62,PRODUCTOS DE CONFITERÍA (CHOCOLATES)
124278,77275,65,CACAO Y CHOCOLATE. DETERMINACIÓN DE CENIZAS TOTALES NTP 208.015:2021. EXCEPTO 6.2.2.
130214,79040,62,CHOCOLATE PARA TAZA
130767,79119,62,CHOCOLATE PARA TAZA
130770,79119,65,CACAO Y CHOCOLATE. LICOR O PASTA DE CACAO Y CHOCOLATES. DETERMINACIÓN DE SÓLIDOS NO GRASOS. NTP 208.028
131524,83149,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUAS RESIDUALES EN AGRICULTURA. METODOLOGÍA PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS. 1993. ITEM 3.2.1 B CUALITATIVO. ITEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
131539,83150,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUAS RESIDUALES EN AGRICULTURA. METODOLOGÍA PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS. 1993. ITEM 3.2.1 B CUALITATIVO. ITEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
131541,83151,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUAS RESIDUALES EN AGRICULTURA. METODOLOGÍA PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRICOLAS. OPS/CEPIS. 1993. ITEM 3.2.1 B CUALITATIVO. ITEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
131545,83152,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUAS RESIDUALES EN AGRICULTURA. METODOLOGÍA PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRÍCOLAS. OPS/CEPIS. 1993. ITEM 3.2.1 B CUALITATIVO. ITEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
134270,83153,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUAS RESIDUALES EN AGRICULTURA. METODOLOGÍA PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRÍCOLAS. OPS/CEPIS. 1993. ITEM 3.2.1 B CUALITATIVO. ITEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
134277,83154,65,EVALUACIÓN DE RIESGOS PARA LA SALUD POR EL USO DE AGUAS RESIDUALES EN AGRICULTURA. METODOLOGÍA PARA EL ANÁLISIS MICROBIOLÓGICO DE AGUAS RESIDUALES Y PRODUCTOS AGRÍCOLAS. OPS/CEPIS. 1993. ITEM 3.2.1 B CUALITATIVO. ITEM 3.2.2. CUANTITATIVO (VALIDADO - MODIFICADO) (VALIDADO - APLICADO FUERA DEL ALCANCE)
